ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
CZ,CMCC-CM2-SR5,6482.572852742535,7243.850303595878,11.743446130825584,0.5251994770046898,0.06829272629991617,3.047535805246129e-09,True
CZ,CMCC-ESM2,6542.073103813897,7108.240925534555,8.65425703345615,0.13501667059637018,0.31406464776831305,5.455158467619187e-07,True
CZ,HadGEM3-GC31-LL,9168.603291847956,10279.607123233422,12.117481758353403,0.31651489512714537,0.5140608698578937,7.267002109632306e-17,True
CZ,HadGEM3-GC31-MM,8812.421656192748,9816.807468790632,11.397387140367627,0.2877578600061669,0.023304513468712068,3.385549967358854e-15,True
CZ,MRI-ESM2-0,8397.152711092565,8868.320923725916,5.611047325731515,0.1070959763603399,0.8479424096185675,3.6962148800987784e-08,True
DK,ACCESS-CM2,5092.968244573486,5550.171101246618,8.97713935601851,0.7674347538193296,0.3986281323597766,1.8858847021336247e-12,True
DK,CanESM5,5517.011556894045,5630.361871402297,2.054560033803264,0.018134762150481352,0.09681706716571813,0.004083767132266589,True
DK,CMCC-CM2-SR5,3824.007342876118,3967.211035850923,3.7448592571764925,0.5636093968584047,0.8770556485211011,0.002478145365242876,True
DK,CMCC-ESM2,3810.7369187440504,3914.8684475804125,2.732582465196311,0.02862210884478219,0.6166904633983562,0.005257392244615051,True
DK,HadGEM3-GC31-LL,5258.678124781492,5850.746194294574,11.258876384218379,0.16558931731072446,0.45549037767040423,2.009004454169887e-17,True
DK,HadGEM3-GC31-MM,5223.564927487327,5721.842637778699,9.539035452002263,0.9591569499158805,0.8536552872906243,1.1031104734253492e-15,True
DK,MRI-ESM2-0,4736.538564619564,4757.636833927711,0.4454364515417472,0.525011441780793,0.0488258522933127,0.8332317708767641,False
EE,ACCESS-CM2,6064.584334318525,6272.317619747867,3.425350757409901,0.6526918012102293,0.5456391574789476,4.837942047016103e-05,True
EE,CanESM5,6055.640544284989,6125.691875057317,1.1567947314580722,0.42673511146112486,0.9161910292878763,0.4155969481039741,False
EE,CMCC-CM2-SR5,4142.988676843614,4336.26515874072,4.665146274171244,0.42053746832389377,0.2044586730501446,0.003175272660640504,True
EE,CMCC-ESM2,4111.9628633603825,4296.8838054203625,4.497145237076842,0.34628471891849966,0.3555499591676332,8.431387582242318e-06,True
EE,HadGEM3-GC31-LL,5831.638801012552,6328.723571849678,8.52392934128253,0.531759764146622,0.016740321605614904,1.8732077022608855e-08,True
EE,HadGEM3-GC31-MM,5801.051400422253,6191.59435957306,6.732278895552953,0.4657527242432809,0.38539297041519777,1.6978133791992503e-10,True
EE,MRI-ESM2-0,5036.3535602715865,5117.4366781666695,1.6099568254042624,0.029065247828412674,0.5365460151415866,0.04207273509501802,True
FI,ACCESS-CM2,15225.177520320307,15561.83697025748,2.2112021320464086,0.2402158440750241,0.36393559969656564,0.002537432044814995,True
FI,CanESM5,9380.0754750648,9355.910726445087,-0.2576178484272337,0.5956373158103221,0.7251521085269366,0.8064957142753197,False
FI,CMCC-CM2-SR5,10581.372666760073,10886.804108662642,2.8865011329015893,0.17109788254622865,0.5620922828358172,0.022156513884245665,True
FI,CMCC-ESM2,10419.63590979549,11165.24743000307,7.155830843442726,0.3693202609128571,0.9427773921939342,7.888979566205551e-05,True
FI,HadGEM3-GC31-LL,14973.991541691366,15768.3975878035,5.305239046651701,0.5056393664478007,0.34159738405899526,1.6222158805851853e-06,True
FI,HadGEM3-GC31-MM,16793.31179693991,17521.996173593645,4.339134445098056,0.790600592885657,0.6860024251627648,3.199890897479824e-06,True
FI,MRI-ESM2-0,13130.853183363895,12822.70321236843,-2.346762747952097,0.7879514077313303,0.012626152471567299,0.5561435921902341,False
FR,ACCESS-CM2,70390.2119979118,77259.98776948923,9.75956113298996,0.5638920833606571,0.26472326314850625,3.1374154731724623e-16,True
FR,CanESM5,72784.07632208301,75542.79977114689,3.7902843430423134,0.2424489685288117,0.27925769854115856,0.02108621820813211,True
FR,CMCC-CM2-SR5,51924.061441486076,56334.56027147995,8.494132984886262,0.8592316836322662,0.20436500663445073,8.922434305518437e-08,True
FR,CMCC-ESM2,52089.712028124035,56001.50343844271,7.50971978537075,0.3529069910302892,0.4539504149783755,9.629918865449375e-09,True
FR,HadGEM3-GC31-LL,69427.92288356838,77157.0006754437,11.132520563573687,0.8712667635206465,0.22454248881117495,5.1428603367877285e-23,True
FR,HadGEM3-GC31-MM,69716.74156904455,74524.89256645687,6.896694953321257,0.7184425326206655,0.0006406212639330864,2.638630533516028e-12,True
FR,MRI-ESM2-0,64433.88550289011,67628.52900093675,4.958017777623149,0.017425485654221275,0.1592216805977229,1.3534469352945957e-07,True
DE,ACCESS-CM2,40581.20673972253,45207.992868534544,11.401302476013177,0.21785841380752563,0.6927362873407468,6.410364223479786e-13,True
DE,CanESM5,44137.93348158103,45389.1206311413,2.834720728559697,0.036485106887853905,0.6541447569324652,0.0008985082430485599,True
DE,CMCC-CM2-SR5,29488.71104850815,31934.90068101735,8.295342677017253,0.9675070453421121,0.9240987637300522,2.7123709962730443e-08,True
DE,CMCC-ESM2,29596.983513501542,31274.617071625635,5.668258582361242,0.2520626677129687,0.43899637536827985,6.189386077396199e-06,True
DE,HadGEM3-GC31-LL,41241.79501696321,46126.28805236689,11.84355102243884,0.7255657346483938,0.7657832365665097,6.314289302241347e-18,True
DE,HadGEM3-GC31-MM,40440.935770939446,44517.08475331611,10.079264746652452,0.7803673766346172,0.0007924186043984473,8.522959764115095e-17,True
DE,MRI-ESM2-0,36951.09256489366,39463.07214383606,6.798119905469245,0.46507268196755824,0.9926482734039086,1.2610731343756147e-06,True
GR,ACCESS-CM2,18882.5575478611,20531.45030098287,8.732359210040098,0.5319381131926385,0.6349210367264602,2.9321090019342262e-21,True
GR,CanESM5,19334.76168515792,20024.04756299488,3.5650083981437652,0.0662440263116012,0.1459608148157231,6.270922820290863e-06,True
GR,CMCC-CM2-SR5,14653.073823681725,15730.98501799318,7.356212131883052,0.8517498432666482,0.11236485240211441,6.012482191524277e-12,True
GR,CMCC-ESM2,14718.592670821447,15858.063810597818,7.741712575790557,0.4277285824097395,0.27113052251392233,1.928178766178111e-11,True
